,Campanhas de Doação - em andamento (mínimo 10 mil reais mobilizados),,,,,,,,,,
,Campanhas,Organizador (a) / Beneficiário (a),Cidade,Estado,Valor Doado,in Dollars,Doadores,Referência,Observação,,
1,40 sonhos em 1 clique - 1º Objetivo!,  Meninas da Shaarei Bina,São Paulo,SP,"R$ 16.946,18","$ 3.258,88",79,https://www.kickante.com.br/campanhas/ajuda-6,,,
2,4G para Estudar,Nossas,Nacional,BR,"R$ 606.570,00","$ 116.648,08",6833,https://www.4gparaestudar.org.br/,,,
3,#Ação342: Apoio para Coletivos de Favelas do Rio de Janeiro,Movimento 342 / Associação Procure Saber,Rio de Janeiro,RJ,"R$ 440.412,26","$ 84.694,67",1760,https://www.vakinha.com.br/vaquinha/acao342-apoio-para-coletivos-de-favelas-do-rio-de-janeiro,,,
4,#amorsolidario,Amor Solidário,São Paulo,SP,"R$ 20.505,14","$ 3.943,30",169,https://www.vakinha.com.br/vaquinha/amorsolidario,,,
5,#CufaContraoVirus CUFA Paraisópolis,Cufa Paraisópolis,São Paulo,SP,"R$ 25.806,16","$ 4.962,72",131,https://www.vakinha.com.br/vaquinha/cufacontraovirus-cufa-paraisopolis,,,
6,#doeHSP,HSP,São Paulo,SP,"R$ 4.916.917,00","$ 945.560,96",0,https://www.unifesp.br/doehsp,,,
7,#JuntosVenceremos,Instituto Dharma,São Paulo,SP,"R$ 83.391,00","$ 16.036,73",559,https://doacaolegal.com.br/c/juntos-venceremos,,,
8,#QuarentenaSolidariadaCasa,Casa da Criança e do Adolescente de Valinhos ,Vallinhos,SP,"R$ 30.165,72","$ 5.801,10",193,https://www.vakinha.com.br/vaquinha/quarentenasolidariadacasa,,,
9,#SANTACASAAFAVORDAVIDA,Santa Casa de Curitiba,Curitiba,PR,"R$ 524.976,35","$ 100.956,99",0,http://santacasacuritiba.com.br/santacasaafavordavida/,Descontada doação da Ouro Verde e da GT Building,,
10,#SolidarizaGoiania,Fabricio Rosa,Goiânia,GO,"R$ 36.448,30","$ 7.009,29",245,https://www.vakinha.com.br/vaquinha/solidarizagoiania,,,
11,#UmaMãoLavaOutra,Habitat Brasil,São Paulo,SP,"R$ 37.618,00","$ 7.234,23",285,https://www.catarse.me/umamaolavaoutra,,,
12,#VencendoJuntos,Vários Esportistas-Rede Esporte pela Mudança Social,Rio de Janeiro,RJ,"R$ 3.502.418,00","$ 673.541,92",0,https://www.vencendojuntos.com.br/,,,
13,A favela venceu! O Coronavírus perdeu,Movimento A Favela Venceu,Salvador,BA,"R$ 60.107,69","$ 11.559,17",280,https://www.kickante.com.br/campanhas/favela-venceu-combatendoocontagiocomunitario-0,,,
14,ABCP contra a Fome!,ABCP,São Paulo,SP,"R$ 15.910,00","$ 3.059,62",112,https://www.vakinha.com.br/vaquinha/abcp-contra-a-fome,,,
15,ABDDoe,Associação de Ex-Alunos da FMABC,São Bernardo do Campo,SP,"R$ 39.650,00","$ 7.625,00",243,https://abacashi.com/p/abc-doe,,,
16,Abrace uma Causa BV,Várias Organizações,São Paulo,SP,"R$ 2.860.000,00","$ 550.000,00",0,https://bancobv.abraceumacausa.com.br/,,,
17,Abraço Campeão,Abraço Campeão,Rio de Janeiro,RJ,"R$ 15.803,98","$ 3.039,23",0,https://combatecovid.org/abraco-campeao,,,
18,Ação Cidadania contra o Coronavírus,Ação da Cidadania,Rio de Janeiro,RJ,"R$ 2.478.580,00","$ 476.650,00",2442,https://benfeitoria.com/acaocontracorona,,,
19,Ações de Combate ao Corona Vírus,Hamburgada do Bem,Guarulhos,SP,"R$ 61.770,07","$ 11.878,86",546,https://www.vakinha.com.br/vaquinha/acoes-de-combate-ao-corona-virus,,,
20,Adec,Adec,Niterói,SP,"R$ 22.292,32","$ 4.286,98",0,https://combatecovid.org/adec,,,
21,ADOTE UM DEALER,Felipe Marques,São Paulo,SP,"R$ 19.259,76","$ 3.703,80",56,https://www.vakinha.com.br/vaquinha/adote-um-dealer-felipe-marques,,,
